Source SourceType Target TargetType Pmax Radius Weight Wstd Delay Dstd Dir
2/3 E 2/3 E 0.192 0.0003 87.8*pA 8.78*pA 1.5 0.75 1
2/3 I 2/3 E 0.3095 0.000175 -351.2*pA 8.78*pA 0.8 0.4 1
5 E 2/3 E 0.0143 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
6 E 2/3 E 0.0159 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
2/3 E 2/3 I 0.252 0.0003 87.8*pA 8.78*pA 1.5 0.75 1
2/3 I 2/3 I 0.2553 0.000175 -351.2*pA 8.78*pA 0.8 0.4 1
5 E 2/3 I 0.034 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
6 E 2/3 I 0.008 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
2/3 E 5 E 0.1902 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
2/3 I 5 E 0.1202 5e-05 -351.2*pA 8.78*pA 0.8 0.4 1
5 E 5 E 0.0377 0.0003 87.8*pA 8.78*pA 1.5 0.75 1
5 I 5 E 0.1662 0.000175 -351.2*pA 8.78*pA 0.8 0.4 1
6 E 5 E 0.0396 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
2/3 E 5 I 0.1071 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
2/3 I 5 I 0.0533 5e-05 -351.2*pA 8.78*pA 0.8 0.4 1
5 E 5 I 0.027 0.0003 87.8*pA 8.78*pA 1.5 0.75 1
5 I 5 I 0.1374 0.000175 -351.2*pA 8.78*pA 0.8 0.4 1
6 E 5 I 0.0179 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
2/3 E 6 E 0.0318 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
2/3 I 6 E 0.014 5e-05 -351.2*pA 8.78*pA 0.8 0.4 1
5 E 6 E 0.0257 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
5 I 6 E 0.0078 5e-05 -351.2*pA 8.78*pA 0.8 0.4 1
6 E 6 E 0.0784 0.000225 87.8*pA 8.78*pA 1.5 0.75 1
6 I 6 E 0.399 0.000175 -351.2*pA 8.78*pA 0.8 0.4 1
2/3 E 6 I 0.0708 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
2/3 I 6 I 0.002 5e-05 -351.2*pA 8.78*pA 0.8 0.4 1
5 E 6 I 0.0125 5e-05 87.8*pA 8.78*pA 1.5 0.75 1
5 I 6 I 0.0031 5e-05 -351.2*pA 8.78*pA 0.8 0.4 1
6 E 6 I 0.1276 0.000225 87.8*pA 8.78*pA 1.5 0.75 1
6 I 6 I 0.267 0.000175 -351.2*pA 8.78*pA 0.8 0.4 1
PM E 2/3 E 0.8 0.0003 87.8*pA 8.78*pA 3 1.5 -1
PM E 2/3 I 0.8 0.0003 87.8*pA 8.78*pA 3 1.5 -1
PM E 5 E 0.5 0.0003 87.8*pA 8.78*pA 3 1.5 -1
PM E 5 I 0.5 0.0003 87.8*pA 8.78*pA 3 1.5 -1
